"feature","coefficient"
"engine292.0HP 3.6L V6 Cylinder Engine Gasoline Fuel",-4227.76068981951
"modelSorento EX",-4226.08163735997
"engine225.0HP 3.3L V6 Cylinder Engine Gasoline Fuel",-4226.05074352254
"engine210.0HP 4.0L V6 Cylinder Engine Gasoline Fuel",-4225.3754767761
"engine177.0HP 2.4L 4 Cylinder Engine Gasoline Fuel",-4224.77360582355
"modelSolstice Base",-4224.66577371216
"engine171.0HP 2.5L 4 Cylinder Engine Gasoline Fuel",-4221.20130016852
"modelEscape Limited",-4221.01413616322
"modelCamry Solara SLE",-4213.44624096662
"engine210.0HP 2.0L 4 Cylinder Engine Gasoline Fuel",-4207.42046708701
"engine345.0HP 5.7L 8 Cylinder Engine Gasoline Fuel",-4206.45232547862
"engine220.0HP 4.6L 8 Cylinder Engine Gasoline Fuel",-4203.88967967988
"engine160.0HP 2.0L 4 Cylinder Engine Flex Fuel Capability",-4202.55968169286
"modelZ4 2.5i Roadster",-4202.10010581234
"modelCamaro Base",-4201.00992558512
"modelNavigator Select",-4200.25012175813
"engine210.0HP 5.8L 8 Cylinder Engine Gasoline Fuel",-4199.10915498536
"modelF-250 Base",-4199.03101831475
"engine325.0HP 5.7L 8 Cylinder Engine Gasoline Fuel",-4198.83978395273
"modelGolf GTI 2.0T S 4-Door",-4196.71518610727
"modelLeaf S",-4185.61892154825
"engine147.0HP Electric Motor Electric Fuel System",-4185.54893554729
"engine172.0HP 2.4L 4 Cylinder Engine Gasoline Fuel",-4185.42135352332
"engine225.0HP 4.6L 8 Cylinder Engine Gasoline Fuel",-4184.68257696371
"engine240.0HP 3.0L V6 Cylinder Engine Flex Fuel Capability",-4182.32838850254
"modelCrossfire Limited",-4181.05919871025
"engine292.0HP 4.6L 8 Cylinder Engine Gasoline Fuel",-4180.22524500444
"engine300.0HP 3.7L V6 Cylinder Engine Flex Fuel Capability",-4178.44163231191
"modelUtility Police Interceptor Base",-4178.15915015728
"engine555.0HP 4.4L 8 Cylinder Engine Gasoline Fuel",-4175.39671580651
"modelZ4 3.0si",-4170.52016000486
"engine255.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel",-4170.46911121428
"model325 i",-4169.30078118522
"model335 i",-4169.28991273183
"engine150.0HP 2.4L 4 Cylinder Engine Gasoline Fuel",-4168.44043598113
"modelNew Compass Trailhawk",-4168.00566191743
"modelZ3 3.0i Roadster",-4167.15331418368
"engine330.0HP 3.4L Flat 6 Cylinder Engine Gasoline Fuel",4163.75265048037
"modelCayman R",4163.61544376241
"modelOptima S",-4163.17574424191
"ext_col.Daytona Gray Pearl Effect",4162.25793543782
"engine260.0HP 3.8L V6 Cylinder Engine Gasoline Fuel",-4158.88622675621
"modelEclipse Spyder GT",-4158.73008714038
"engine133.0HP 2.2L 4 Cylinder Engine Gasoline Fuel",-4158.56951710332
"modelCamry LE",-4158.40043414113
"modelEscape SE",-4155.20136314204
"modelChallenger SRT Hellcat",4154.79815213485
"engine210.0HP 3.3L V6 Cylinder Engine Gasoline Fuel",-4153.86983539713
"modelSRX Luxury Collection",-4153.68144890387
"model370Z Base",-4151.80280440534
"modelExplorer Sport Trac XLT",-4148.1124506136
"engine175.0HP 2.5L 4 Cylinder Engine Gasoline Fuel",-4146.41893324332
"modelCTS 3.6L Luxury",-4144.70091236495
"ext_col.Majestic Plum Metallic",-4144.45969304712
"int_col.Light Platinum / Jet Black",-4144.38200809704
"engine2.4L I4 16V MPFI DOHC",-4143.10243721331
"modelOutlander Sport 2.4 SE",-4142.95040874905
"modelXK8 Base",-4140.25371526482
"engine348.0HP 3.8L V6 Cylinder Engine Gasoline Fuel",-4137.95132060626
"engine375.0HP Electric Motor Electric Fuel System",4132.52784523587
"modelXE 20d Prestige",-4130.18056057907
"model350Z Enthusiast",-4128.44621447197
"engine150.0HP 2.0L 4 Cylinder Engine Gasoline Fuel",-4125.96462081579
"engine380.0HP 4.6L 8 Cylinder Engine Gasoline Fuel",-4121.69223503683
"engine181.0HP 1.6L 4 Cylinder Engine Gasoline Fuel",-4120.02083114813
"engine255.0HP 2.9L Flat 6 Cylinder Engine Gasoline Fuel",-4117.07194395551
"modelAvalon Hybrid XLE Premium",-4114.6409073614
"modelShelby GT350 Base",4111.92554517942
"engine159.0HP 2.7L 4 Cylinder Engine Gasoline Fuel",-4105.49780710949
"model300C Base",-4104.67441566854
"engine290.0HP 4.0L 8 Cylinder Engine Gasoline Fuel",-4104.25438126366
"modelRio S",-4103.41365295855
"engine170.0HP 2.5L 4 Cylinder Engine Gasoline Fuel",-4102.29198334914
"modelJuke SL",-4100.59710644707
"engine206.0HP 2.4L 4 Cylinder Engine Gas/Electric Hybrid",-4099.97577098016
"modelEquinox LT",-4099.91746837419
"engine147.0HP 1.4L 4 Cylinder Engine Gasoline Fuel",-4096.85899716802
"fuel_type.not supported",-4093.47079011639
"modelCelica GT",-4089.10512862466
"modelGL-Class GL 450 4MATIC",-4087.01882569543
"modelC-Class C 300",-4078.19818046036
"int_col.Dark Auburn",4077.79439682299
"ext_col.Sandstone Metallic",4077.70704812243
"modelEscalade Premium Luxury Platinum",4077.5650500288
"modelOdyssey LX",-4077.42917428494
"modelJetta 1.4T R-Line",-4076.54334403216
"modelCountryman Cooper S",-4074.58033462258
"engine179.0HP 2.5L 4 Cylinder Engine Gasoline Fuel",-4073.92574178887
"model300 Touring",-4073.05880913633
"engine416.0HP 3.0L V6 Cylinder Engine Plug-In Electric/Gas",-4071.45933384113
"modelTaurus SHO",-4069.66833548831
"modelMX-5 Miata Grand Touring",-4068.56133300322
"modelIntegra GS-R",-4065.60307331606
"engine5.4 Liter",-4065.60289079556
"int_col.Camel Leather",-4064.96934113862
"engine208.0HP 2.0L 4 Cylinder Engine Gasoline Fuel",-4062.74792783352
"engine303.0HP 3.7L V6 Cylinder Engine Gasoline Fuel",-4061.92531267582
"modelKona EV SEL",-4061.88012126032
"modelMKT Base",-4061.82717438023
"modelRover Range Rover Evoque Pure",-4061.24702585341
"engine308.0HP 3.6L V6 Cylinder Engine Flex Fuel Capability",-4060.55710562401
"modelX5 xDrive50i",-4055.64742467566
"modelEquinox Premier w/2LZ",-4053.85402317523
"ext_col.Iridescent Pearl Tricoat",-4053.60792292972
"modelWrangler SE",-4053.04532306369
"modelTucson Limited",-4051.8107841875
"modelMaxima SV",-4048.1976140448
"engine335.0HP 4.6L 8 Cylinder Engine Gasoline Fuel",-4047.96772854827
"engine120.0HP 1.6L 4 Cylinder Engine Gasoline Fuel",-4046.45518463158
"modelGenesis 3.8",-4045.75664380448
"modelCompass Latitude",-4044.63790055793
"engine230.0HP 3.3L V6 Cylinder Engine Gasoline Fuel",-4039.0887470188
"modelRX 330 Base",-4038.99812627598
"engine400.0HP 4.4L 8 Cylinder Engine Gasoline Fuel",-4037.12561076158
"engine239.0HP 3.7L 5 Cylinder Engine Gasoline Fuel",-4036.93339179934
"engine150.0HP 1.4L 4 Cylinder Engine Gasoline Fuel",-4036.16407983347
"modelJetta 1.4T SE",-4036.10432951395
"modelMKZ Hybrid Base",-4034.28519054478
"engine534.0HP Electric Motor Electric Fuel System",4034.22516355536
"modelModel X Long Range Plus",4033.92732292334
"modelRover LR4 Lux",-4032.82951927985
"modelJetta 1.4T S",-4031.44014139237
"engine182.0HP 4.0L 8 Cylinder Engine Gasoline Fuel",-4029.11561222807
"modelRover Discovery LSE",-4029.09096524983
"engine201.0HP 2.0L 4 Cylinder Engine Gasoline Fuel",-4027.6727093801
"modelRSX Type S",-4027.67086255194
"engine195.0HP 4.3L V6 Cylinder Engine Gasoline Fuel",-4024.70674007794
"engine160.0HP 2.4L 4 Cylinder Engine Gasoline Fuel",-4024.54920739449
"modelCR-V EX",-4024.33474889917
"engine400.0HP 3.6L V6 Cylinder Engine Gasoline Fuel",-4024.27707279659
"modelXT4 Sport",-4024.02893819845
"engine420.0HP 4.7L 8 Cylinder Engine Gasoline Fuel",4019.77691352881
"modelG37 x",-4018.59239397835
"modelFusion Hybrid SE Hybrid",-4015.71978881272
"modelCivic LX",-4014.37161303534
"modelRam 2500 SLT Mega Cab",-4012.38180916572
"model428 Gran Coupe i xDrive",-4010.00435835776
"modelCharger Base",-4008.997402673
"modelOutlander Sport ES",-4004.08572010441
"modelTucson SE",-4002.88500899386
"modelCharger SRT Hellcat",4002.0320096313
"modelXJ Vanden Plas",-4001.31938338737
"brandChrysler",-4000.99559282387
"engine184.0HP 2.5L 4 Cylinder Engine Gasoline Fuel",-3998.96148660468
"modelMazda6 i Touring",-3998.79243591372
"engine197.0HP 3.8L V6 Cylinder Engine Gasoline Fuel",-3998.07645689554
"engine717.0HP 6.2L 8 Cylinder Engine Gasoline Fuel",3996.36182209078
"engine300.0HP 4.2L 8 Cylinder Engine Gasoline Fuel",-3995.99408930438
"engine244.0HP 3.5L V6 Cylinder Engine Gasoline Fuel",-3994.01170849903
"modelSuburban High Country",3993.68992862207
"engine1.4L I4 16V GDI DOHC Turbo",-3991.07346440288
"ext_col.Platinum Gray Metallic",-3990.71386683083
"int_col.Black / Gray",-3990.47722471795
"modelAccent SEL",-3986.81824627909
"engine328.0HP 3.7L V6 Cylinder Engine Gasoline Fuel",-3985.81924444574
"engine250.0HP 3.0L Flat 6 Cylinder Engine Gasoline Fuel",-3985.76392694726
"modelOutback 3.0 R VDC Limited",-3985.64700598505
"engine429.0HP 5.0L 8 Cylinder Engine Gasoline Fuel",-3985.59036238829
"modelLancer Evolution IX",3982.50855276942
"modelM37 x",-3982.26845370129
"model650 Gran Coupe i xDrive",-3980.78320898905
"engine240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel",-3980.195173167
"model228 Gran Coupe i xDrive",-3979.15485431373
"engine250.0HP 2.5L 5 Cylinder Engine Gasoline Fuel",-3978.23583802415
"modelS60 T5 Premier Plus",-3978.11845819341
"modelCX-5 Touring",-3974.64081648561
"modelJetta GLI",-3973.58586432261
"engine445.0HP 6.6L 8 Cylinder Engine Diesel Fuel",3972.0247437767
"modelCTS Performance",-3972.00282695891
"engine275.0HP 2.0L 4 Cylinder Engine Gasoline Fuel",-3971.30744004344
"modelBeetle 1.8T",-3967.93510118211
"modelCamry Solara SE",-3967.02701269898
"modelMKC Reserve",-3963.30814611037
"engine180.0HP 2.4L 4 Cylinder Engine Gasoline Fuel",-3963.259005733
"engine220.0HP 3.0L V6 Cylinder Engine Gasoline Fuel",-3960.46545343841
"engine270.0HP 3.0L V6 Cylinder Engine Gasoline Fuel",-3956.19504604662
"modelC30 T5 Premier Plus",-3950.95513024212
"modelRover Discovery Sport SE",-3948.87143971057
"engine424.0HP 3.0L V6 Cylinder Engine Gasoline Fuel",-3947.28723961288
"modelGenesis Coupe 3.8 Grand Touring",-3946.04409067434
"engine175.0HP 3.9L V6 Cylinder Engine Gasoline Fuel",-3944.06861679325
"engine302.0HP 5.0L 8 Cylinder Engine Gasoline Fuel",-3942.18780725235
"engine192.0HP 2.4L 4 Cylinder Engine Gasoline Fuel",-3936.98307683638
"ext_col.White Clearcoat",-3936.36591984085
"modelATS 2.5L",-3936.32194004496
"modelCamaro 1LT",-3936.00753096161
"model500 Sport",-3934.73092418323
"modelBaja Base",-3934.30698529881
"modelSienna LE",-3933.57878858921
"modelCrosstour EX-L",-3933.19807093607
"modelShelby GT500 Base",3932.93246244021
"engine120.0HP 2.5L 4 Cylinder Engine Gasoline Fuel",-3932.80817605096
"modelIS 250 Base",-3932.0234818617
"ext_col.Stellar Black Metallic",-3930.43871669023
"engine2.0L I4 16V GDI DOHC Flexible Fuel",-3929.42932609938
"engine270.0HP 3.2L V6 Cylinder Engine Gasoline Fuel",-3929.34086833621
"modelFocus SEL",-3929.02398846469
"modelCTS Luxury",-3928.49139318893
"engine470.0HP 6.4L 8 Cylinder Engine Gasoline Fuel",3928.16925466399
"modelWrangler Unlimited Rubicon 392",3928.12548861096
"modelILX Premium & A-SPEC Packages",-3927.95109637835
"engine3.2L V6 18V MPFI SOHC",-3927.37196883987
"modelRover Range Rover HSE",-3927.27853900838
"engine344.0HP 3.8L V6 Cylinder Engine Gasoline Fuel",-3927.21408718395
"modelRover LR3 HSE",-3925.28059920072
"engine204.0HP 2.5L V6 Cylinder Engine Gasoline Fuel",-3922.13300397878
"modelE-Class E 300",-3921.97249053144
"modelRover LR4 HSE LUX Landmark Edition",-3919.19338391703
"engine281.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel",-3909.54793117908
"engine225.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel",-3909.54191046152
"modelS80 T6",-3909.49672484822
"engine302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel",-3909.37579844214
"modelMKZ Base",-3907.74138627857
"model335 i xDrive",-3905.76610257051
"model540 i",-3905.4101369505
"ext_col.Stormy Sea",-3904.82746939817
"engine280.0HP 3.9L 8 Cylinder Engine Gasoline Fuel",-3903.46567129064
"engine430.0HP 4.7L 8 Cylinder Engine Gasoline Fuel",3902.39864104859
"modelMartin Vantage GT Base",3902.27705013288
"engine138.0HP 1.6L 4 Cylinder Engine Gasoline Fuel",-3901.35928098716
"modelAccent GLS",-3901.15725420075
"modelOptima EX",-3900.92086606385
"modelCivic EX",-3898.33814613929
"engine288.0HP 3.6L V6 Cylinder Engine Gasoline Fuel",-3896.91561223775
"engine170.0HP 2.5L 5 Cylinder Engine Gasoline Fuel",-3895.66240274948
"engine332.0HP 3.7L V6 Cylinder Engine Gasoline Fuel",-3895.59592062143
"engine354.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid",-3895.55567811539
"modelMatrix XR",-3892.70519267764
"modelTT 1.8T",-3887.64879875793
"modelMKZ Select",-3887.57710429622
"modelIS 250C Base",-3884.66991233782
"modelCharger R/T",-3877.22832139461
"modelAvalanche 1500 LS",-3875.90164851196
"engine115.0HP 1.7L 4 Cylinder Engine Gasoline Fuel",-3875.82229556034
"modelCivic Si",-3875.45937146227
"model228 i",-3874.55461019267
"engine170.0HP 1.8L 4 Cylinder Engine Gasoline Fuel",-3872.13000199232
"modelXF XFR-S",3867.48830573713
"modelA5 2.0T Premium Plus",-3867.11099511212
"engine265.0HP 3.5L V6 Cylinder Engine Gasoline Fuel",-3863.6452095263
"modelS5 3.0T Premium Plus",-3863.240990719
"modelMKS Base",-3861.02299487985
"modelLegacy 2.5 i Premium",-3860.93726196426
"engine778.0HP Electric Motor Electric Fuel System",3860.16300616182
"brandSaturn",-3854.90589527469
"modelMustang EcoBoost",-3850.81287632372
"model328 i",-3849.03584288899
"modelSolstice GXP",-3848.08231116617
"modelEcoSport SES",-3847.90766043515
"modeli3 120Ah w/Range Extender",-3847.6938201223
"ext_col.Volcanic Orange",-3846.49946459845
"int_col.Carbon Black",-3846.33219623391
"ext_col.Matador Red Mica",-3845.83149791629
"modelElantra SE",-3845.19615976931
"modelSSR Base",-3840.25828457778
"engineHEMI 6.2L V-8 intercooled supercharger, premium unleaded, engine",3838.90170029972
"engine210.0HP 3.7L V6 Cylinder Engine Gasoline Fuel",-3835.54489504386
"modelMKX Base",-3835.49614092556
"engine173.0HP 1.6L 4 Cylinder Engine Gasoline Fuel",-3835.02035123354
"model550 Gran Turismo i",-3834.84595858249
"engine2.0L I4 16V MPFI DOHC Hybrid",-3833.85964623092
"engine305.0HP 3.7L V6 Cylinder Engine Gasoline Fuel",-3833.68458413728
"engine315.0HP 4.6L 8 Cylinder Engine Gasoline Fuel",-3832.10111431552
"engine4.7L 8 Cylinder Engine Gasoline Fuel",-3829.69035274298
"engine456.0HP 4.0L 8 Cylinder Engine Gasoline Fuel",3828.91223312746
"modelAMG GT AMG GT",3828.81924615962
"modelA4 2.0T Premium Plus",-3828.79005792001
"modelTahoe RST",3828.19777285095
"modelMDX Touring",-3827.91241963216
"engine143.0HP 1.8L 4 Cylinder Engine Gasoline Fuel",-3827.81181683568
"engine483.0HP 4.3L 8 Cylinder Engine Gasoline Fuel",3827.70213894301
"modelF430 Berlinetta",3827.27996389608
"modelGenesis Coupe 3.8 R-Spec",-3826.35003837303
"modelRover Range Rover 5.0L Supercharged Autobiography LWB",3825.77249494497
"model1500 Classic Tradesman",-3824.68658825895
"modelCayenne Diesel",-3824.16346624606
"engine200.0HP 2.0L 4 Cylinder Engine Gasoline Fuel",-3822.83929218835
"engine2.4L I4 16V GDI DOHC",-3822.36685599862
"engine318.0HP 3.6L V6 Cylinder Engine Gasoline Fuel",-3821.68326177006
"modelGS 350 Base",-3821.37470517734
"modelXF Premium",-3820.5191995565
"modelSierra 2500 AT4",3814.23231583606
"modelF-250 LARIAT",3809.23795676636
"engineIntercooled Turbo Diesel V-8 6.7 L/406",3809.23557635231
"modelTerrain SLE",-3807.19029070314
"modelallroad 2.0T Prestige",-3806.56232167539
"model528 i xDrive",-3800.66524449258
"modelA3 2.0T Tech Premium",-3795.39216896877
"ext_col.Crimson Red Tintcoat",-3795.16634942115
"modelAcadia SLE-1",-3795.0112443575
"modelMagnum R/T",-3791.62918857962
"modelATS 3.6L Luxury",-3789.48240958512
"engine321.0HP 3.6L V6 Cylinder Engine Gasoline Fuel",-3789.43759164757
"engine140.0HP 1.8L 4 Cylinder Engine Gasoline Fuel",-3787.54608171717
"modelQ50 3.0t Signature Edition",-3785.96914783656
"modelRover Defender X-Dynamic SE",3785.3542093886
"modelM3 Competition",3784.11626331437
"modelRover Range Rover SWB",3780.9677640582
"model718 Cayman GTS",3780.45355724238
"engine134.0HP 1.8L 4 Cylinder Engine Plug-In Electric/Gas",-3780.43614737935
"modelPrius Plug-in Base",-3780.30537650934
"modelRover Range Rover Supercharged LWB",3780.05587773314
"modelSportage SX Turbo",-3778.04382884435
"ext_col.Black Cherry",-3778.00252087846
"engine148.0HP 3.0L V6 Cylinder Engine Gasoline Fuel",-3777.86385882139
"modelRanger Edge SuperCab",-3777.73272105353
"engine242.0HP 3.3L V6 Cylinder Engine Gasoline Fuel",-3776.85793739606
"modelSorento LX",-3772.56061240718
"modelCC 2.0T Sport",-3770.95166713044
"engine300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel",-3769.96931039464
"modelSL-Class SL550 Roadster",-3768.40131441664
"engine210.0HP 2.0L 4 Cylinder Engine Diesel Fuel",3763.2618892571
"modelGolf SportWagen TSI SE",-3762.77748934054
"modelXJ8 L",-3761.8859854382
"engine303.0HP 5.3L 8 Cylinder Engine Gasoline Fuel",-3760.96029195711
"modelMonte Carlo SS",-3760.91176827608
"modelILX 2.0L w/Premium Package",-3759.64631380188
"model640 Gran Coupe i xDrive",-3756.48662209403
"modelCayenne Platinum Edition",-3750.09852070739
"modelQX60 Base",-3749.49769201244
"modelMartin DB7 Vantage Volante",-3749.33935860873
"engine420.0HP 5.9L 12 Cylinder Engine Gasoline Fuel",-3749.11550672148
"modelXT5 Luxury",-3744.5668605182
"modelTucson SEL",-3740.42463706334
"ext_col.Portofino Gray",-3739.88890487874
"model535 i xDrive",-3739.88706443264
"engine201.0HP 2.4L 4 Cylinder Engine Gasoline Fuel",-3739.15340239197
"engine260.0HP 2.0L 4 Cylinder Engine Gasoline Fuel",-3737.76646262212
"modelWrangler X",-3737.24741268438
"modelSLK-Class SLK 250",-3735.34881522835
"modelQ5 3.0 TDI Premium Plus",-3734.34079791805
"modelE-Class E500",-3733.92213259749
"engine300.0HP 3.6L V6 Cylinder Engine Gasoline Fuel",-3732.46447558
"engine200.0HP 3.0L V6 Cylinder Engine Gasoline Fuel",-3725.80148352973
"modelTown & Country Touring-L",-3725.12971693298
"modelX1 sDrive28i",-3723.66125544184
"modelMazda6 Grand Touring",-3722.93734982742
"ext_col.Deep Crystal Blue Mica",-3722.85771083407
"modelQX70 Base",-3714.71798719288
"modelEquus Signature",-3712.78474105059
"engine362.0HP 4.6L 8 Cylinder Engine Gasoline Fuel",-3711.6523383951
"brandHyundai",-3710.49882595762
"modelCTS Premium",-3705.89710189254
"engine281.0HP 3.6L V6 Cylinder Engine Gasoline Fuel",-3702.8774361688
"engine330.0HP 3.7L V6 Cylinder Engine Gasoline Fuel",-3700.57327819267
"modelCTS 2.0L Turbo Luxury",-3696.75434083643
"ext_col.Phantom Black",-3693.33544338081
"modelSonata Sport",-3693.25087705355
"modelRenegade Trailhawk",-3693.16367016025
"brandPontiac",-3692.58006374056
"modelMazda3 FWD w/Preferred Package",-3690.83627325558
"modelLiberty Renegade",-3689.62875277774
"modelAccord EX-L",-3688.94506256419
"modelGolf SportWagen TSI S 4-Door",-3687.27184133748
"modelXC90 3.2",-3684.58340692022
"engine181.0HP 1.5L 3 Cylinder Engine Gasoline Fuel",-3683.45524940582
"int_col.Rhapsody Blue",3680.9948210939
"model330 i xDrive",-3676.54318564758
"engine201.0HP Electric Motor Electric Fuel System",-3674.37503593421
"engine2.0L I4 16V GDI DOHC",-3674.01257451849
"modelS-Class S 450 4MATIC",3673.92966016854
"engine273.0HP 4.7L 8 Cylinder Engine Gasoline Fuel",-3672.52695607962
"engine142.0HP 1.8L 4 Cylinder Engine Gasoline Fuel",-3671.66967707297
"modelXC90 Hybrid T8 Inscription",3668.92497874299
"engine265.0HP 2.9L Flat 6 Cylinder Engine Gasoline Fuel",-3667.36992584516
"engine375.0HP 5.0L 8 Cylinder Engine Gasoline Fuel",-3667.1827322742
"engine190.0HP 4.0L Straight 6 Cylinder Engine Gasoline Fuel",-3665.6438332389
"modelILX Technology Plus Package",-3665.2195628495
"modelX5 xDrive35i",-3663.716278238
"ext_col.Billet Clearcoat Metallic",-3662.93521607317
"modelA3 2.0T Premium",-3658.54637746558
"engine390.0HP 5.7L 8 Cylinder Engine Gasoline Fuel",-3658.31337390845
"modelE-Class E55 AMG",-3656.89984876318
"engine469.0HP 5.4L 8 Cylinder Engine Gasoline Fuel",-3656.87490341144
"engine300.0HP 5.3L 8 Cylinder Engine Gasoline Fuel",-3656.26297040205
"modelBlazer 1LT",-3655.15432068173
"ext_col.Nightfall Gray Metallic",-3655.06989659072
"int_col.BEIGE",3652.81415290299
"transmission.Single-Speed Fixed Gear",3652.2397707669
"engine261.0HP 4.0L V6 Cylinder Engine Gasoline Fuel",-3652.1708083669
"engineDual AC Electric Motors",3651.89196622926
"engine182.0HP 2.4L 4 Cylinder Engine Gasoline/Mild Electric Hybrid",-3651.33625966457
"modelXT5 Base",-3650.41224135313
"modelQ70 3.7",-3648.07839595598
"modelAMG E 53 Base 4MATIC",3646.71153622693
"modelPathfinder Platinum",-3644.272208178
"modelCT 200h Premium",-3640.56889085766
"modelBeetle 2.0T S",-3640.24860500876
"modelHardtop Cooper S",-3638.04906434087
"model300 S",-3637.00506361764
"engine285.0HP 5.7L 8 Cylinder Engine Gasoline Fuel",-3636.28421351573
"engine166.0HP 2.4L 4 Cylinder Engine Gasoline Fuel",-3635.8948877704
"modelTransit Connect XL",-3635.61133821885
"model370Z Touring",-3634.56536233889
"engine222.0HP 3.0L V6 Cylinder Engine Gasoline Fuel",-3633.35764799536
"modelMaxima GLE",-3633.17921639878
"engine1.6L I4 16V GDI DOHC Turbo",-3628.78347816476
"engine4.2L V8 32V GDI DOHC Twin Turbo",3628.52739347514
"modelCT6-V 4.2L Blackwing Twin Turbo",3628.28840555717
"ext_col.Brands Hatch Gray Metallic",3625.42385045209
"modelM8 Base",3624.64536963127
"engine300.0HP 5.4L 8 Cylinder Engine Gasoline Fuel",-3624.02640683557
"modelRanger Sport SuperCab",-3620.31507915407
"modelTouareg VR6 Lux",-3618.14745378033
"modelRX 300 4WD",-3616.07107104056
"engine215.0HP 3.8L V6 Cylinder Engine Gasoline Fuel",-3615.33173213379
"modelMontero Limited",-3615.20734324651
"engine188.0HP 2.0L 4 Cylinder Engine Gas/Electric Hybrid",-3612.54549122559
"engine290.0HP 3.3L V6 Cylinder Engine Gasoline Fuel",-3610.66837181395
"modelSanta Fe GLS",-3610.58808876545
"engine240.0HP 4.7L 8 Cylinder Engine Gasoline Fuel",-3610.32146728926
"modelK5 EX",-3608.51777635393
"engine310.0HP 3.0L V6 Cylinder Engine Gasoline Fuel",-3604.93139246078
"modelRover Discovery SE",-3604.43347647219
"engine295.0HP 3.6L V6 Cylinder Engine Flex Fuel Capability",-3599.97439208367
"model200 C",-3599.65763228304
"engine245.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid",-3599.50398483939
"modelFusion Hybrid SE",-3597.91679042851
"modelTransit Connect XLT",-3594.40114813752
"modelEnclave Leather",-3592.00310179247
"modelLaCrosse Leather",-3591.78497064305
"engine300.0HP 6.0L 8 Cylinder Engine Gasoline Fuel",-3590.96503783789
"modelSilverado 2500 H/D",-3590.75642948156
"engine181.0HP 1.5L 4 Cylinder Engine Gasoline Fuel",-3589.86290880119
"engine200.0HP Electric Motor Electric Fuel System",-3584.00016419553
"modelATS 2.0L Turbo",-3582.40425464495
"engine5.6L V8 32V GDI DOHC",-3582.24508472128
"model350Z Touring",-3582.06549547328
"engine167.0HP 2.0L 4 Cylinder Engine Gasoline Fuel",-3581.92094040604
"modelSky Red Line",-3581.17251488178
"engine134.0HP 1.8L 4 Cylinder Engine Gas/Electric Hybrid",-3580.45213567277
"engine480.0HP 3.8L V6 Cylinder Engine Gasoline Fuel",3577.53834157944
"transmission.7-Speed M/T",3574.79193415452
"modelCompass High Altitude",-3572.26044441086
"model128 i",-3571.5263391557
"engine355.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid",3571.37790423874
"engine182.0HP Electric Motor Hydrogen Fuel",-3569.1598898045
"modelMirai Limited",-3569.0561216922
"transmission.5-Speed M/T",-3567.37469303048
"engine300.0HP 5.7L 8 Cylinder Engine Gasoline Fuel",-3565.06763480784
"modelHighlander Base",-3564.55987343359
"modelMazda3 FWD w/Premium Package",-3564.17297121746
"modelPassat 2.0T R-Line",-3563.7877904287
"ext_col.Reflex Silver",-3563.16725555626
"engine220.0HP 2.0L 4 Cylinder Engine Gasoline Fuel",-3561.94945834003
"engine173.0HP 2.5L 4 Cylinder Engine Gasoline Fuel",-3560.82834638335
"modelImpreza WRX Sti",-3560.67903631082
"modelFirebird Base",-3557.92876741932
"modelRam 2500 SLT Quad Cab",-3555.36476799796
"modelOutback 2.5i Limited",-3554.37298311547
"modelEvora 400 Base",3553.11543166901
"engine245.0HP 5.9L 8 Cylinder Engine Gasoline Fuel",-3552.02295631867
"modelRam 1500 Quad Cab",-3551.88123856474
"int_col.Satin Black",-3550.33439992416
"modelGladiator Mojave",3549.99234218614
"modelBronco Sport Base",-3547.68122929113
"ext_col.Shadow Black",-3547.3029571212
"engine266.0HP 3.5L V6 Cylinder Engine Gasoline Fuel",-3545.97794686783
"ext_col.Blue Reflex Mica",-3542.93418139536
"modelTahoe LS",-3542.7046418227
"modelChallenger SXT",-3539.13479322942
"modelImpreza 2.0i Sport",-3538.85135016688
"modelA6 2.0T Premium Plus",-3538.04489617145
"modelChallenger R/T",-3536.34594833164
"modelSky Base",-3535.9480360224
"engine402.0HP 4.7L 8 Cylinder Engine Gasoline Fuel",-3535.90209942419
"int_col.Oyster/Black",-3534.31207517636
"modelCountryman Cooper S ALL4",-3534.14746939824
"engine2.9 Liter Turbo",3534.01614328782
"modelImpreza 2.0i Premium",-3529.9205477845
"ext_col.Passion Red",-3529.61920166237
"engine500.0HP 4.0L 8 Cylinder Engine Gasoline Fuel",3527.94297110178
"modelAcadia SLE",-3527.24248895744
"modelImpala 1LT",-3524.52273480496
"modelPanamera 4 Edition",-3521.81432663455
"engine199.0HP 2.4L 4 Cylinder Engine Gas/Electric Hybrid",-3519.5790023282
"model750 Li xDrive",-3519.48379222047
"engine407.0HP 4.4L 8 Cylinder Engine Gasoline Fuel",-3519.43551979723
"int_col.Dark Gray",-3516.52797459097
"modelQ50 Premium",-3515.42133926615
"modelM235 i",-3514.72111508848
"modelWrangler Sport",-3514.00488458153
