"feature","coefficient"
"ext_col.Custom Color",21238.6892642028
"engine4.0L",21237.9908335204
"modelCayenne Turbo GT",21237.4213331333
"engine6.0L W12 48V PDI DOHC Twin Turbo",21007.9075302333
"engine670.0HP 5.5L 8 Cylinder Engine Gasoline Fuel",20861.5012595831
"modelCorvette Z06 w/2LZ",20861.4229703285
"modelHuracan EVO Base",20650.4193819095
"transmission.Automatic, 8-Spd Dual-Clutch",20602.0537987243
"modelMC20 MC20",20601.4102518473
"engineNettuno 3L V-6 port/direct injection, DOHC, variable valve contr",20601.390971882
"engine602.0HP 3.9L 8 Cylinder Engine Gasoline Fuel",20582.3063474922
"modelGTC4Lusso T",20582.003867216
"engine580.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel",19976.8234371735
"engine715.0HP 5.2L 12 Cylinder Engine Gasoline Fuel",19741.5520168202
"int_col.Linen",19533.5427893316
"modelHUMMER EV Edition 1",19430.7709798351
"ext_col.Lizard Green",18636.406296573
"model911 GT3 RS",18635.301066616
"modelMartin Vantage Base",18322.257848568
"engine4.4 Liter",18113.1811432416
"ext_col.Nero Noctis",17919.3022250752
"engine5.2L V10 40V GDI DOHC",17911.4502155292
"engine603.0HP 4.0L 8 Cylinder Engine Gasoline/Mild Electric Hybrid",17777.0589520579
"modelAMG GLS 63 4MATIC",17776.8831260794
"modelContinental GT Speed",17774.2089137585
"engine808.0HP 6.2L 8 Cylinder Engine Gasoline Fuel",17759.6123762903
"modelChallenger SRT Demon",17759.5003718933
"brandMaserati",17738.7751439284
"engine602.0HP 5.2L 10 Cylinder Engine Gasoline Fuel",17671.4858087795
"modelHuracan LP610-4",17670.8585816687
"transmission.7-Speed Manual",17063.0936525656
"transmission.6-Speed Manual",16753.9871304006
"engine540.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel",16677.3345018142
"modelHuracan LP580-2",16254.0615729209
"engine443.0HP 3.0L Flat 6 Cylinder Engine Gasoline Fuel",16225.5318796252
"engine542.0HP 4.0L 8 Cylinder Engine Gasoline Fuel",15986.8528751402
"int_col.Nero",15921.0644139912
"ext_col.Rosso Corsa",15920.9261502086
"model488 GTB Base",15918.4503534908
"ext_col.Dark Sapphire",15619.3734683704
"modelContinental GT V8 First Edition",15617.3930256636
"engine610.0HP 5.2L 10 Cylinder Engine Gasoline Fuel",15514.0491620395
"modelR8 5.2 V10 plus",15513.9973946154
"modelRover Range Rover P400 SE SWB",15483.5012151996
"engine562.0HP 3.8L 8 Cylinder Engine Gasoline Fuel",15216.8859296237
"engine4.0L V8 32V GDI DOHC Twin Turbo",15122.1854733909
"modelContinental GT W12",15074.2995786795
"modelSprinter 3500 High Roof",15042.0811332199
"engine450.0HP 3.0L Flat 6 Cylinder Engine Gasoline Fuel",14977.9356737078
"model911 Targa 4 GTS",14977.7364832915
"engine4.0 Liter Twin Turbo",14924.0189496305
"model570S Spider",14895.5906993192
"modelAMG GT R",14868.3408429787
"engine565.0HP 3.8L V6 Cylinder Engine Gasoline Fuel",14791.31811038
"engine453.0HP 4.0L 8 Cylinder Engine Gasoline Fuel",14552.4294364899
"modelCayenne GTS Coupe AWD",14552.2750926991
"ext_col.Daytona Gray Pearl Effect w/ Black Roof",14534.519443554
"modelR8 5.2 V10 performance",14532.8775372812
"modelX7 ALPINA XB7",14506.2977102114
"engine543.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel",14180.0216099663
"engine475.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel",14114.8685632836
"transmission.8-Speed Automatic with Auto-Shift",14026.270187414
"modelMetris Base",13473.4689195687
"transmission.9-Speed Automatic with Auto-Shift",13396.0777340238
"modelAMG GT C",13395.9488757253
"engine3.5L V6 24V PDI DOHC Twin Turbo Hybrid",13395.9128239926
"modelNSX Base",13395.5326653197
"ext_col.Rosso Mars Metallic",13355.560471177
"int_col.Sahara Tan",13341.9881641607
"modelMartin DBX Base",13341.4544168192
"modelRover Range Rover Sport First Edition",13101.0933056898
"engine3.8L V6 24V MPFI DOHC Twin Turbo",13079.8860465034
"ext_col.Bayside Blue",13079.7340479471
"modelG-Class G 550",13005.479985591
"int_col.Hotspur Hide",12851.5985646062
"ext_col.Beluga Black",12851.1620125714
"engine379.0HP 3.0L Flat 6 Cylinder Engine Gasoline Fuel",12710.6274380964
"model718 Cayman GT4",12440.9046610401
"modelRover Range Rover Sport SVR Carbon Edition",12438.1329362741
"engine414.0HP 4.0L Flat 6 Cylinder Engine Gasoline Fuel",12425.6946273867
"modelHuracan LP580-2S",12410.2775696113
"model718 Spyder Base",12379.4088727355
"engine409.0HP 3.4L V6 Cylinder Engine Gasoline Fuel",12374.1300235529
"modelLX 600 F SPORT",12374.1033882939
"modelBentayga V8",12352.9045033845
"engine630.0HP 4.0L 8 Cylinder Engine Gasoline Fuel",12238.2516047221
"engine5.2L V10 40V PDI DOHC",12225.6861666843
"ext_col.Kemora Gray Metallic",12068.0291551077
"engine430.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel",12051.5727519899
"model911 Carrera GTS",12051.3732883681
"engine523.0HP 4.4L 8 Cylinder Engine Gasoline Fuel",11958.9054711421
"engine416.0HP 4.0L 8 Cylinder Engine Gasoline Fuel",11920.0263808208
"modelG-Class G 550 4MATIC",11919.9796481743
"modelBentayga Speed",11797.2662658332
"modelCamaro ZL1",11209.7091228752
"int_col.Blk",11195.4142652497
"int_col.Black / Express Red",11115.0832877045
"modelR8 5.2 V10",11063.4340055841
"modelCayman GT4",11050.4927317533
"modelAMG GT 63 S 4-Door",11015.581678372
"modelRover Range Rover Westminster SWB",10942.7419406872
"brandBentley",10816.0191551209
"engine550.0HP 4.0L 8 Cylinder Engine Gasoline Fuel",10759.503741643
"engine3.0L H6 24V GDI DOHC Twin Turbo",10741.258887418
"int_col.Beluga Hide",10738.9796679856
"ext_col.Ice",10738.5145827765
"modelEscalade Sport",10337.3168048186
"ext_col.Dark Gray Metallic",10251.8360644731
"ext_col.Blue Caelum",10042.3564642465
"modelEQS 450 4MATIC",10033.8955665196
"model570S Base",10019.065811049
"engine797.0HP 6.2L 8 Cylinder Engine Gasoline Fuel",9890.18663049143
"transmission.7-Speed Automatic",9827.53100418795
"brandAston",9809.44153589204
"modelBentayga Activity Edition",9807.75753596697
"engine550.0HP 5.2L 10 Cylinder Engine Gasoline Fuel",9724.02247666804
"modelR8 5.2",9724.00034742273
"engine557.0HP 5.0L 8 Cylinder Engine Gasoline Fuel",9602.69051959006
"modelRover Range Rover SV Autobiography Dynamic SWB",9602.53684490371
"modelEscalade ESV Premium Luxury Platinum",9510.08474015204
"modelBentayga Onyx Edition",9440.22791714515
"ext_col.Vega Blue",9379.04737400563
"engine3.8L V8 32V MPFI DOHC Twin Turbo",9378.13978527893
"engine493.0HP 5.0L 10 Cylinder Engine Gasoline Fuel",8941.04176057419
"modelGallardo SE",8940.32382670869
"ext_col.Jupiter Red",-8849.85893296682
"engine420.0HP 3.0L Flat 6 Cylinder Engine Gasoline Fuel",8794.38636409015
"modelS-Class S 580 4MATIC",8786.70206454494
"engine617.0HP 4.4L 8 Cylinder Engine Gasoline Fuel",8763.70191013057
"modelM8 Competition",8606.22513689537
"engine4.4L V8 32V GDI DOHC Twin Turbo",8528.19300555442
"modelGT-R Black Edition",8476.85194908436
"modelCountryman Cooper",-8456.11996229168
"engine2L H-4 DOHC, variable valve control, regular unleaded, engine wi",-8429.26244279255
"ext_col.Quartz Blue Pearl",-8429.1354384608
"model840 i xDrive",8388.98975860407
"ext_col.designo Diamond White Metallic",8244.0965257367
"engine480.0HP 3.6L Flat 6 Cylinder Engine Gasoline Fuel",8206.58715986927
"model911 Turbo Cabriolet",8206.445918412
"engine553.0HP 3.9L 8 Cylinder Engine Gasoline Fuel",8177.5773566175
"modelCalifornia T",8177.25930749415
"model718 Boxster GTS",8158.09590471969
"modelEscalade Sport Platinum",8021.71024763694
"engine536.0HP Electric Motor Electric Fuel System",7983.7648439752
"modelAir Grand Touring",7983.40976068683
"modelEscalade ESV Sport",7963.01753071575
"modelYukon Denali Ultimate",7926.78975652479
"modelM8 Gran Coupe Competition",7912.11087712209
"modelM3 Competition xDrive",7842.46609672954
"ext_col.Onyx Black",7799.94332011839
"modelGhibli Base",-7766.50935144963
